X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,urban
-73.9944589999662,40.7503269998931,1,NYP,"New York (Penn Station), New York",New York,NY,36,YES
-77.0064220004317,38.8969930001697,2,WAS,"Washington, District of Columbia",Washington,DC,11,YES
-75.1810409997465,39.9556150000125,3,PHL,"Philadelphia (30th St), Pennsylvania",Philadelphia,PA,42,YES
-87.6394430003043,41.8786840000346,4,CHI,"Chicago (Union Station), Illinois",Chicago,IL,17,YES
-71.0553039996294,42.3523110001276,5,BOS,"Boston (South Station), Massachusetts",Boston,MA,25,YES
-118.236778000024,34.0561769998625,6,LAX,"Los Angeles, California",Los Angeles,CA,06,YES
-121.500703999962,38.5840040000675,7,SAC,"Sacramento, California",Sacramento,CA,06,YES
-76.6156879996737,39.3073020001803,8,BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,24,YES
-73.7411470004318,42.6410289996868,9,ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,36,YES
-71.4134779996708,41.829490000162,10,PVD,"Providence, Rhode Island",Providence,RI,44,YES
-117.169576000146,32.7161689997475,11,SAN,"San Diego (Downtown), California",San Diego,CA,06,YES
-75.5510950002314,39.7372629998967,12,WIL,"Wilmington, Delaware",Wilmington,DE,10,YES
-76.6942999995817,39.1923619998656,13,BWI,"BWI Rail Station at Thurgood Marshall Airport, Mar",BWI Marshall Airport,MD,24,YES
-74.1647499999063,40.7347059999515,14,NWK,"Newark (Penn Station), New Jersey",Newark,NJ,34,YES
-122.330161000187,47.5984450002457,15,SEA,"Seattle (Amtrak), Washington",Seattle,WA,53,YES
-72.9266699995589,41.2977139998218,16,NHV,"New Haven, Connecticut",New Haven,CT,09,YES
-71.0758280002668,42.3473170002121,17,BBY,"Boston (Back Bay), Massachusetts",Boston,MA,25,YES
-87.9171040000065,43.0345179998474,18,MKE,"Milwaukee, Wisconsin",Milwaukee,WI,55,YES
-122.676806000313,45.5287240003037,19,PDX,"Portland, Oregon",Portland,OR,41,YES
-122.291615000116,37.8404739999696,20,EMY,"Emeryville, California",Emeryville,CA,06,YES
-76.3077140001909,40.0541809999057,21,LNC,"Lancaster, Pennsylvania",Lancaster,PA,42,YES
-76.8782560000456,40.2620500001456,22,HAR,"Harrisburg, Pennsylvania",Harrisburg,PA,42,YES
-119.00820999983,35.3721399998409,23,BFD,"Bakersfield, California",Bakersfield,CA,06,YES
-71.1478940000557,42.2102419999597,24,RTE,"Westwood, Route 128 Station, Massachusetts",Route 128,MA,25,YES
-74.7544399996737,40.2190110000232,25,TRE,"Trenton, New Jersey",Trenton,NJ,34,YES
-71.0611219996524,42.3662349998855,26,BON,"Boston (North Station), Massachusetts",Boston,MA,25,YES
-73.5421599996636,41.0471300002673,27,STM,"Stamford, Connecticut",Stamford,CT,09,YES
-117.271134999558,32.9929370000285,28,SOL,"Solana Beach, California",Solana Beach,CA,06,YES
-121.737707000173,38.5435620001606,29,DAV,"Davis, California",Davis,CA,06,YES
-74.3295829996733,40.5680559997265,30,MET,"Metropark (Iselin), New Jersey",Metropark,NJ,34,YES
-119.782925999565,36.7384569999896,31,FNO,"Fresno, California",Fresno,CA,06,YES
-122.138784000093,38.0189209999301,32,MTZ,"Martinez, California",Martinez,CA,06,YES
-117.733694999905,33.6567710001309,33,IRV,"Irvine, California",Irvine,CA,06,YES
-77.4969430000418,37.6176929998596,34,RVR,"Richmond (Staples Mill Rd), Virginia",Richmond,VA,51,YES
-122.271667000137,37.7938659999275,35,OKJ,"Oakland, California",Oakland - Jack London Square,CA,06,YES
-119.692784999742,34.413718000272,36,SBA,"Santa Barbara, California",Santa Barbara,CA,06,YES
-90.2038380003688,38.6244609997362,37,STL,"St. Louis, Missouri",St. Louis,MO,29,YES
-117.379429999958,33.1925150002797,38,OSD,"Oceanside, California",Oceanside,CA,06,YES
-117.922849000251,33.8689690002625,39,FUL,"Fullerton, California",Fullerton,CA,06,YES
-121.285632000176,37.9454680001258,40,SKN,"Stockton (711-718), California",Stockton,CA,06,YES
-122.354130000413,37.936751999965,41,RIC,"Richmond, California",Richmond,CA,06,YES
-117.200073000049,32.7552660002564,42,OLT,"San Diego (Old Town), California",San Diego - Old Town,CA,06,YES
-117.877307999624,33.8038030002316,43,ANA,"Anaheim, California",Anaheim,CA,06,YES
-77.2209419998481,38.7081430001705,44,LOR,"Lorton (Auto Train), Virginia",Lorton,VA,51,YES
-81.291273999852,28.8085440002085,45,SFA,"Sanford (Auto Train), Florida",Sanford,FL,12,YES
-88.9843059998847,40.5090100002628,46,BNL,"Bloomington-Normal, Illinois",Bloomington-Normal,IL,17,YES
-121.902387999604,37.3299330001836,47,SJC,"San Jose, California",San Jose,CA,06,YES
-117.663813000405,33.5013179996863,48,SNC,"San Juan Capistrano, California",San Juan Capistrano,CA,06,YES
-73.7977290001797,42.2538910000798,49,HUD,"Hudson, New York",Hudson,NY,36,
-73.9512780002532,41.9213460002133,50,RHI,"Rhinecliff, New York",Rhinecliff,NY,36,
-75.4837600003443,40.0427539999306,51,PAO,"Paoli, Pennsylvania",Paoli,PA,42,YES
-119.651815999906,36.3260779996663,52,HNF,"Hanford, California",Hanford,CA,06,YES
-77.0623299996118,38.8065030003071,53,ALX,"Alexandria, Virginia",Alexandria,VA,51,YES
-90.078290999566,29.9460849999459,54,NOL,Union Passenger Terminal,New Orleans,LA,22,YES
-80.822811999816,35.2414030001239,55,CLT,"Charlotte, North Carolina",Charlotte,NC,37,YES
-76.8714940000163,38.9480980002129,56,NCR,"New Carrollton, Maryland",New Carrollton,MD,24,YES
-122.041098999717,38.2434009999632,57,SUI,"Suisun, California",Suisun-Fairfield,CA,06,YES
