train id,train type,stop,time,action,direction
1,nozomi,tokyo,6:00,start,west
1,nozomi,shinagawa,6:07,stop,west
1,nozomi,shin-yokohama,6:18,stop,west
1,nozomi,odawara,,skip,west
1,nozomi,atami,,skip,west
1,nozomi,mishima,,skip,west
1,nozomi,shin-fuji,,skip,west
1,nozomi,shizuoka,,skip,west
1,nozomi,kakegawa,,skip,west
1,nozomi,hamamatsu,,skip,west
1,nozomi,toyohashi,,skip,west
1,nozomi,mikawa-anjo,,skip,west
1,nozomi,nagoya,7:34,arrive,west
1,nozomi,nagoya,7:35,depart,west
1,nozomi,gifu-hashima,,skip,west
1,nozomi,maibara,,skip,west
1,nozomi,kyoto,8:09,skip,west
1,nozomi,shin-osaka,8:22,arrive,west
1,nozomi,shin-osaka,8:24,depart,west
1,nozomi,shin-kobe,8:37,stop,west
1,nozomi,nishi-akashi,,skip,west
1,nozomi,himeji,,skip,west
1,nozomi,aioi,,skip,west
1,nozomi,okayama,9:10,stop,west
1,nozomi,shin-kurashiki,,skip,west
1,nozomi,fukuyama,9:26,stop,west
1,nozomi,shin-onomichi,,skip,west
1,nozomi,mihara,,skip,west
1,nozomi,higashihiroshima,,skip,west
1,nozomi,hiroshima,9:50,stop,west
1,nozomi,shin-iwakuni,,skip,west
1,nozomi,tokuyama,,skip,west
1,nozomi,shin-yamaguchi,,skip,west
1,nozomi,asa,,skip,west
1,nozomi,shin-shimonoseki,,skip,west
1,nozomi,kokura,10:37,stop,west
1,nozomi,hakata,10:52,end,west
79,nozomi,tokyo,,skip,west
79,nozomi,shinagawa,6:00,start,west
79,nozomi,shin-yokohama,6:11,stop,west
79,nozomi,odawara,,skip,west
79,nozomi,atami,,skip,west
79,nozomi,mishima,,skip,west
79,nozomi,shin-fuji,,skip,west
79,nozomi,shizuoka,,skip,west
79,nozomi,kakegawa,,skip,west
79,nozomi,hamamatsu,,skip,west
79,nozomi,toyohashi,,skip,west
79,nozomi,mikawa-anjo,,skip,west
79,nozomi,nagoya,7:27,arrive,west
79,nozomi,nagoya,7:28,depart,west
79,nozomi,gifu-hashima,,skip,west
79,nozomi,maibara,,skip,west
79,nozomi,kyoto,8:03,stop,west
79,nozomi,shin-osaka,8:16,arrive,west
79,nozomi,shin-osaka,8:18,depart,west
79,nozomi,shin-kobe,8:31,stop,west
79,nozomi,nishi-akashi,,skip,west
79,nozomi,himeji,,skip,west
79,nozomi,aioi,,skip,west
79,nozomi,okayama,9:03,stop,west
79,nozomi,shin-kurashiki,,skip,west
79,nozomi,fukuyama,,skip,west
79,nozomi,shin-onomichi,,skip,west
79,nozomi,mihara,,skip,west
79,nozomi,higashihiroshima,,skip,west
79,nozomi,hiroshima,9:39,stop,west
79,nozomi,shin-iwakuni,,skip,west
79,nozomi,tokuyama,10:02,stop,west
79,nozomi,shin-yamaguchi,,skip,west
