station,city,lat,long,pop,prefecture
tokyo,tokyo,35.6812,139.7671,8336599,tokyo
shinagawa,tokyo,35.6285,139.7388,8336599,tokyo
shin-yokohama,yokohama,35.5068,139.6176,3574443,kanagawa
odawara,odwara,35.2564,139.1554,203035,kanagawa
atami,atami,35.1038,139.0779,36865,shizuoka
mishima,mishima,35.1263,138.9111,113479,shizuoka
shin-fuji,fuji,35.1420,138.6636,240014,shizuoka
shizuoka,shizuoka,34.9722,138.3889,701561,shizuoka
kakegawa,kakegawa,34.7697,138.0149,84004,shizuoka
hamamatsu,hamamatsu,34.7042,137.7345,605098,shizuoka
toyohashi,toyohashi,34.7629,137.3819,378374,aichi
mikawa-anjo,anjo,34.9700,137.0620,178402,aichi
nagoya,nagoya,35.1709,136.8815,2191279,aichi
gifu-hashima,hashima,35.3158,136.6853,67909,gifu
maibara,maibara,35.3148,136.2898,38473,shiga
kyoto,kyoto,34.9858,135.7588,1459640,kyoto
shin-osaka,osaka,34.7335,135.5003,2592413,osaka
shin-kobe,kobe,34.7063,135.1955,1528478,hyogo
nishi-akashi,akashi,34.6670,134.9598,297279,hyogo
himeji,himeji,34.8268,134.6905,481493,hyogo
aioi,aioi,34.8180,134.4741,30250,hyogo
okayama,okayama,34.6661,133.9177,639652,okayama
shin-kurashiki,kurashiki,34.5650,133.6787,437581,okayama
fukuyama,fukuyama,34.4889,133.3625,383298,hiroshima
shin-onomichi,onomichi,34.4301,133.1903,90936,hiroshima
mihara,mihara,34.4007,133.0832,80387,hiroshima
higashihiroshima,higashihiroshima,34.3893,132.7597,185418,hiroshima
hiroshima,hiroshima,34.3977,132.4754,1143841,hiroshima
shin-iwakuni,iwakuni,34.1647,132.1494,104004,yamaguchi
tokuyama,shunan,34.0512,131.8030,143959,yamaguchi
shin-yamaguchi,yamaguchi,34.0935,131.3964,145515,yamaguchi
asa,sanyo-onoda,34.0540,131.1606,62288,yamaguchi
shin-shimonoseki,shimonoseki,34.0069,130.9490,245786,yamaguchi
kokura,kitakyushu,33.8870,130.8826,997536,fukuoka
hakata,fukuoka,33.5897,130.4207,1392289,fukuoka
